gene,t_stat,p_value,fdr,cohens_d,mean_ad,mean_control,abs_t_stat,abs_effect_size,mi_score,xgb_gain,elastic_net_coef,mrmr_score,stability_freq,vote_score,vote_count,quality_score
TJP2,13.495096490582906,9.880989395140123e-37,1.0177724989978696e-35,1.0004545371328695,0.34961746817076966,-0.55061705788567,13.495096490582906,1.0004545371328695,0.0790307642127428,3.2491040229797363,0.0,0.0,0.0,0.0,0,0.37818826231899977
TBPL1,-13.557264072129271,3.9668792035154784e-37,4.18978003495111e-36,-0.995681671059951,-0.3482687770519207,0.5484929868552884,13.557264072129271,0.995681671059951,0.13740242559410198,0.0,0.0,0.0,0.0,0.0,0,0.37817388424628473
IL13RA2,-13.596343912430898,2.2548030772978077e-37,2.4173135890987562e-36,-0.992725408446319,-0.34743155140328413,0.54717442938775,13.596343912430898,0.992725408446319,0.10781633499104215,0.0,0.0,0.0,0.0,0.0,0,0.3781698503107487
MRPL16,-13.688912172069987,5.849617393578288e-38,6.582303405333132e-37,-0.9837672722675715,-0.3448858816693021,0.54316522130497,13.688912172069987,0.9837672722675715,0.11974342153681228,0.0,0.0,0.0,0.0,0.0,0,0.37793817220453785
PLCD1,13.115063123903964,2.6803313797879858e-34,2.274862882794548e-33,1.0253208834484375,0.3565840295970366,-0.561588785288717,13.115063123903964,1.0253208834484375,0.13909666985925395,4.605957508087158,0.0,0.0,0.0,0.0,0,0.37778657906993085
CCDC69,13.38918107841909,4.275612358366254e-36,4.1961540756001556e-35,1.0047167897072358,0.3508187363715872,-0.5525089506618731,13.38918107841909,1.0047167897072358,0.12106082549477692,0.0,0.0,0.0,0.0,0.0,0,0.3777732805475097
GRIN2A,-13.730932019942973,3.2068253360107246e-38,3.6917328349161526e-37,-0.979092804989928,-0.34355233320721884,0.5410649986399337,13.730932019942973,0.979092804989928,0.13882387501082638,0.0,0.0,0.0,0.0,0.0,0,0.37776394126632584
CCT2,-13.40088146146536,3.5266251881716436e-36,3.4850738616971456e-35,-1.0032234708414924,-0.35039819795779653,0.5518466392924132,13.40088146146536,1.0032234708414924,0.14035867844601624,0.17659997940063477,0.0,0.0,0.0,0.0,0,0.3777029907255498
ANKMY2,-13.410234572206258,3.029424357180044e-36,3.008625324280002e-35,-1.0020798862308324,-0.3500759037239286,0.5513390539484844,13.410234572206258,1.0020798862308324,0.129365523142154,0.0,0.0,0.0,0.0,0.0,0,0.37765249837973125
RPL26L1,-13.226631936541231,4.7452436689488126e-35,4.297847283101461e-34,-1.0156967004844686,-0.3538996679447639,0.5573611495158024,13.226631936541231,1.0156967004844686,0.12382687361570266,0.0,0.0,0.0,0.0,0.0,0,0.37764054214533915
MAP3K8,13.30945538894594,1.3545471179707122e-35,1.2778577301007256e-34,1.0093445769380223,0.3521196751298193,-0.5545578158838922,13.30945538894594,1.0093445769380223,0.11782590161460815,0.0,0.0,0.0,0.0,0.0,0,0.37762213420074353
NOLC1,-13.089675303517286,3.73519693762145e-34,3.1407751166301344e-33,-1.0256630239952362,-0.3566791810438675,0.5617386405290204,13.089675303517286,1.0256630239952362,0.1284195208800636,0.0,0.0,0.0,0.0,0.0,0,0.377609928663446
ARHGEF6,12.948822629996405,3.0264446458117057e-33,2.378499528334381e-32,1.0352655347968576,0.35934191898411844,-0.5659322208391016,12.948822629996405,1.0352655347968576,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3775049207681124
ACP2,-13.44051607421066,1.8131258238108784e-36,1.8335166005528243e-35,-0.9975001426288211,-0.3487830686042341,0.5493029512512648,13.44051607421066,0.9975001426288211,0.12912516258182039,1.446567416191101,0.0,0.0,0.0,0.0,0,0.3773893823224451
CHCHD3,-13.260066297392667,2.636371905951978e-35,2.425219169890018e-34,-1.0105935964537511,-0.3524701948243593,0.5551098538697162,13.260066297392667,1.0105935964537511,0.11265569123647468,0.0,0.0,0.0,0.0,0.0,0,0.37734474654149863
WDR37,-13.549799682230027,3.6603364625134564e-37,3.8783246531153724e-36,-0.9887465433178597,-0.34630247391686514,0.5453962306983399,13.549799682230027,0.9887465433178597,0.10900203711433498,2.2242932319641113,0.0,0.0,0.0,0.0,0,0.37732282791584293
UNC13A,-13.748170690322503,2.3780937758095243e-38,2.7599713925994026e-37,-0.973434110654852,-0.34193324432449373,0.5385150746852605,13.748170690322503,0.973434110654852,0.1177965501947511,0.0,0.0,0.0,0.0,0.0,0,0.37726756049728494
ROM1,13.053891779180773,5.786800376762492e-34,4.809163577057988e-33,1.0252824186265366,0.35657333109424355,-0.5615719360787398,13.053891779180773,1.0252824186265366,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37726294214778655
FBXL7,13.254985855915379,2.6963414141356294e-35,2.4781016256434363e-34,1.0092657594795642,0.35209754759647705,-0.5545229669463646,13.254985855915379,1.0092657594795642,0.10930785697805345,0.0,0.0,0.0,0.0,0.0,0,0.37715080400435597
LCP1,13.045429617271227,6.348322340035107e-34,5.2452487811167555e-33,1.0248726060787743,0.35645933195794316,-0.5613923973693036,13.045429617271227,1.0248726060787743,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37714456241436056
FMO2,13.650959459006232,8.577692489889502e-38,9.53384729861772e-37,0.9795792415968486,0.3436912713029137,-0.5412838140380378,13.650959459006232,0.9795792415968486,0.12654598357944868,3.219072103500366,0.0,0.0,0.0,0.0,0,0.3771403239680772
FABP6,-13.341540191086402,7.260048678351083e-36,6.994454233457738e-35,-1.0022312684687331,-0.3501185797208688,0.5514062649262471,13.341540191086402,1.0022312684687331,0.09286439728549079,2.0577831268310547,0.0,0.0,0.0,0.0,0,0.3770865631654433
HDAC1,13.335522761327423,7.785671066280553e-36,7.471998356975596e-35,1.0020219625345734,0.350059573532168,-0.5513133353189533,13.335522761327423,1.0020219625345734,0.08142445798467346,0.7197071313858032,0.0,0.0,0.0,0.0,0,0.37701170972114983
LILRA2,13.043664025763613,5.932986953584974e-34,4.926550980343729e-33,1.0221923646977862,0.3557130840319984,-0.5602171218901167,13.043664025763613,1.0221923646977862,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37682515247354953
CP,13.037518382333129,6.436902122945086e-34,5.3096462883566045e-33,1.022320853190563,0.3557488852388458,-0.5602735056723286,13.037518382333129,1.022320853190563,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37678757740540225
SSBP1,-13.132210803203067,1.5439393443254885e-34,1.3376786975445054e-33,-1.015225566389591,-0.35376787243850444,0.5571535830738771,13.132210803203067,1.015225566389591,0.09716127964949783,0.0,0.0,0.0,0.0,0.0,0,0.37678551352226075
CCDC91,-13.08235018937122,3.226170669694995e-34,2.7265376337193687e-33,-1.0185115277343675,-0.35468633680415707,0.5586000844441716,13.08235018937122,1.0185115277343675,0.13549783810985572,0.0,0.0,0.0,0.0,0.0,0,0.3767354794357788
MAPRE2,-13.348430052081847,5.9540297840570914e-36,5.775235303661209e-35,-0.9984465295996181,-0.3490505082165599,0.5497241453445453,13.348430052081847,0.9984465295996181,0.12071817588899947,2.2660672664642334,0.0,0.0,0.0,0.0,0,0.376715178156559
ATP6V1C1,-13.43116580106941,1.6646543679072198e-36,1.688507646959549e-35,-0.99000211370626,-0.3466590438884373,0.5459577973434604,13.43116580106941,0.99000211370626,0.12345755394633495,0.0,0.0,0.0,0.0,0.0,0,0.3764583827922263
SLIT2,-13.44719589417027,1.3165411522730782e-36,1.3449741290519546e-35,-0.9886934405116117,-0.34628738757112804,0.5453724710179447,13.44719589417027,0.9886934405116117,0.1042122407240531,0.7331631183624268,0.0,0.0,0.0,0.0,0,0.37644581887169604
GLS,-13.902739271602595,3.751617666280944e-39,4.6057682567220296e-38,-0.9361956095450956,-0.3311486482418769,0.5215302752798935,13.902739271602595,0.9361956095450956,0.09983056953781633,0.0,0.0,0.0,0.0,0.004592836087268615,1,0.3764168749336823
TTC9,-13.608233312607394,1.3546845748539411e-37,1.479333341533609e-36,-0.9762119369164834,-0.342728698272503,0.5397678453629672,13.608233312607394,0.9762119369164834,0.13227746367044846,1.3721776008605957,0.0,0.0,0.0,0.0,0,0.3763951734630899
NPY5R,-13.510255941501182,5.280896654453042e-37,5.5192282207430165e-36,-0.9834780099941842,-0.34480346312455196,0.5430354192763002,13.510255941501182,0.9834780099941842,0.10994164118508265,0.10005426406860352,0.0,0.0,0.0,0.0,0,0.3763887501690518
ZC3HAV1,13.300663699978525,1.0895861994254168e-35,1.0327787138143479e-34,0.9985012288626125,0.34906596122862793,-0.5497484824924732,13.300663699978525,0.9985012288626125,0.09873689634740002,2.0140421390533447,0.0,0.0,0.0,0.0,0,0.37631591442084933
NPTN,-13.64818691261189,7.707718924969284e-38,8.576448449288563e-37,-0.9717775653408344,-0.3414582812764101,0.5377670492576201,13.64818691261189,0.9717775653408344,0.13033871552844012,0.15100431442260742,0.0,0.0,0.0,0.0,0,0.376230672780547
TSPYL1,-13.550065324246953,2.9211518047405103e-37,3.114958991785794e-36,-0.97897816530382,-0.34351958372600305,0.5410134210597692,13.550065324246953,0.97897816530382,0.1191857369888838,1.8069570064544678,0.0,0.0,0.0,0.0,0,0.37621558881493466
SMPD3,-13.204699327205644,4.4006915967759647e-35,3.993027529765537e-34,-1.0045916212876782,-0.3507835012326785,0.5524534583873543,13.204699327205644,1.0045916212876782,0.14783421599313096,0.0,0.0,0.0,0.0,0.0,0,0.37619304494836014
FBLN1,13.327301454881994,7.115198968045933e-36,6.861526657011251e-35,0.9953856903215798,0.3481850182121662,-0.548361073978741,13.327301454881994,0.9953856903215798,0.131099340505463,4.208589553833008,0.0,0.0,0.0,0.0,0,0.3761881721803204
GABARAPL2,-13.392491317247968,2.7362247857237013e-36,2.722857386471412e-35,-0.9904670118654137,-0.34679100540327534,0.5461656252344227,13.392491317247968,0.9904670118654137,0.09479706487426598,3.8452446460723877,0.0,0.0,0.0,0.0,0,0.37618288808966316
ZBTB16,12.85297227180336,8.493357217717278e-33,6.495953899619629e-32,1.0305896040318485,0.35804717904676675,-0.5638931182199962,12.85297227180336,1.0305896040318485,0.0,0.0,0.0,0.0,0.0,0.0,0,0.376160178281579
AUH,-13.263875533100018,1.7846986240159414e-35,1.6710203533117364e-34,-0.99949187511749,-0.3493457429747071,0.5501891143713291,13.263875533100018,0.99949187511749,0.11127973915910072,4.585653305053711,0.0,0.0,0.0,0.0,0,0.3761161467458324
TSPYL4,-13.575249926111812,2.02661301686204e-37,2.177354630925729e-36,-0.9762149568864039,-0.34272956238332947,0.5397692062622453,13.575249926111812,0.9762149568864039,0.14584387918521768,0.0,0.0,0.0,0.0,0.0,0,0.37611552884216404
PANX1,-13.47442568121355,8.244990716148764e-37,8.510160531321697e-36,-0.9835149341692085,-0.34481398456607615,0.5430519896301981,13.47442568121355,0.9835149341692085,0.11844271939688,0.0,0.0,0.0,0.0,0.0,0,0.37608879000170115
TMEM43,12.964016668371567,1.5079400869996295e-33,1.2030975226493446e-32,1.0202275791649973,0.355165293710529,-0.5593543998507302,12.964016668371567,1.0202275791649973,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37592588551026795
GFRA2,-13.590404800680377,1.5915995986067757e-37,1.722966984131695e-36,-0.9732453153736557,-0.34187913565848127,0.5384298582495964,13.590404800680377,0.9732453153736557,0.09302093901578634,0.25969529151916504,0.0,0.0,0.0,0.0,0,0.37590688234316216
LHFPL2,13.141560110095087,1.0270162448212016e-34,9.02345874961304e-34,1.0062167220637555,0.35124077151114336,-0.5531736192440291,13.141560110095087,1.0062167220637555,0.11343122564493369,0.0,0.0,0.0,0.0,0.0,0,0.3758416513241136
DOPEY1,-13.723828184604171,2.754351972749108e-38,3.1855373163393793e-37,-0.9622812799247853,-0.33872690658298205,0.5334653720400985,13.723828184604171,0.9622812799247853,0.0916431205577608,0.12119007110595703,0.0,0.0,0.0,0.0,0,0.3757941826717136
LMO4,-13.399321451839329,2.2504146900593276e-36,2.2551595403094527e-35,-0.9862862809887518,-0.34560303881415666,0.544294681337979,13.399321451839329,0.9862862809887518,0.10526431227486888,1.5043751001358032,0.0,0.0,0.0,0.0,0,0.37576601923754493
FTSJ1,-13.205184873616675,3.862217259318682e-35,3.517225407414212e-34,-1.000550704197609,-0.3496446044144365,0.5506597951056632,13.205184873616675,1.000550704197609,0.11167643565639551,2.4456636905670166,0.0,0.0,0.0,0.0,0,0.3757381985652427
FAIM2,-13.408830066948342,1.945909268370263e-36,1.9638139947020823e-35,-0.9852391203496973,-0.34530503954257513,0.54382535844336,13.408830066948342,0.9852391203496973,0.10278839691091113,0.0,0.0,0.0,0.0,0.0,0,0.3757277987804116
GRSF1,-13.228080467838195,2.723931173779912e-35,2.5011552019776726e-34,-0.9985443674925348,-0.3490781479187358,0.5497676754678359,13.228080467838195,0.9985443674925348,0.13760897314624954,0.0,0.0,0.0,0.0,0.0,0,0.37570467340559976
OSBPL10,-13.264165857610903,1.5893272024572798e-35,1.493698192817901e-34,-0.9956949934119257,-0.34827254677503133,0.5484989238408128,13.264165857610903,0.9956949934119257,0.10977856791275054,0.0,0.0,0.0,0.0,0.0,0,0.37568736075464937
FOXF1,13.307127249278329,8.237777445679818e-36,7.898295550944309e-35,0.9916050521212839,0.3471138900422083,-0.5466741404149055,13.307127249278329,0.9916050521212839,0.10657783659666364,1.5396223068237305,0.0,0.0,0.0,0.0,0,0.3755875129066527
TES,13.335878083524712,5.26030581475039e-36,5.117262411015949e-35,0.9884062620198875,0.34620579308046884,-0.545243966802688,13.335878083524712,0.9884062620198875,0.11670382885006547,0.0,0.0,0.0,0.0,0.0,0,0.37546825233580783
GRAMD1B,-13.492487418906407,5.513097052659982e-37,5.7498664245140306e-36,-0.9755878594763616,-0.34255009775260753,0.5394865651016643,13.492487418906407,0.9755878594763616,0.1242656064517782,4.886568069458008,0.0,0.0,0.0,0.0,0,0.37534175300859784
ATG7,-13.438972046738728,1.1253444898277092e-36,1.1543744453206953e-35,-0.978065133172322,-0.3432586786235514,0.540602518250333,13.438972046738728,0.978065133172322,0.12652006142919925,2.5035877227783203,0.0,0.0,0.0,0.0,0,0.3751688437191475
CDA,13.172014312896334,5.40647736529948e-35,4.861445998473343e-34,0.9978772255243649,0.34888964598956657,-0.549470801349422,13.172014312896334,0.9978772255243649,0.10166936522020187,0.0,0.0,0.0,0.0,0.0,0,0.375152967889601
ADARB1,-13.453254181345072,9.120190286857005e-37,9.403782980694191e-36,-0.9765582560302588,-0.34282778167402916,0.5399238930894092,13.453254181345072,0.9765582560302588,0.0813201107883601,0.0,0.0,0.0,0.0,0.0,0,0.3751189297821286
